"movie_id"	"title"	"user_rating"	"metascore"	"MPAA_rating"	"nudity"	"violence"	"profanity"	"alcohol"	"frightening"
"tt0437086"	"Alita: Battle Angel"	74	53	"Rated PG-13 for sequences of sci-fi violence and action, and for some language"	"None"	"Moderate"	"Mild"	"Mild"	"Moderate"
"tt0448115"	"Shazam!"	71	71	"Rated PG-13 for intense sequences of action, language, and suggestive material"	"None"	"Moderate"	"Mild"	"Mild"	"Moderate"
"tt0451279"	"Wonder Woman"	74	76	"Rated PG-13 for sequences of violence and action, and some suggestive content"	"Mild"	"Moderate"	"Mild"	"Mild"	"Mild"
"tt0460890"	"The Only Living Boy in New York"	63	33	"Rated R for language and some drug material"	"Moderate"	"None"	"Moderate"	"Moderate"	"None"
"tt0491175"	"Suburbicon"	57	42	"Rated R for violence, language and some sexuality"	"Mild"	"Moderate"	"Moderate"	"Mild"	"Moderate"
"tt0491203"	"Tulip Fever"	62	38	"Rated R for sexual content and nudity"	"Severe"	"Mild"	"Mild"	"Mild"	"Mild"
"tt0493405"	"CHIPS"	60	28	"Rated R for crude sexual content, graphic nudity, pervasive language, some violence and drug use."	"Moderate"	"Severe"	"Severe"	"Mild"	"Mild"
"tt0498381"	"Rings"	45	25	"Rated PG-13 for violence/terror, thematic elements, some sexuality and brief drug material"	"Mild"	"Moderate"	"Mild"	"Mild"	"Moderate"
"tt0837563"	"Pet Sematary"	58	57	"Rated R for horror violence, bloody images, and some language"	"Mild"	"Severe"	"Moderate"	"Mild"	"Severe"
"tt0859635"	"Super Troopers 2"	61	41	"Rated R for crude sexual content and language throughout, drug material and some graphic nudity"	"Severe"	"Moderate"	"Severe"	"Moderate"	"Mild"
"tt0974015"	"Justice League"	64	45	"Rated PG-13 for sequences of sci-fi violence and action"	"Mild"	"Moderate"	"Mild"	"Mild"	"Mild"
"tt1025100"	"Gemini Man"	57	38	"Rated PG-13 for violence and action throughout, and brief strong language."	"Mild"	"Moderate"	"Moderate"	"Mild"	"Mild"
"tt1034415"	"Suspiria"	68	64	"Rated R for disturbing content involving ritualistic  violence, bloody images and graphic nudity, an"	"Severe"	"Severe"	"Moderate"	"Mild"	"Severe"
"tt1072748"	"Winchester"	54	28	"Rated PG-13 for violence, disturbing images, drug content, some sexual material and thematic element"	"Mild"	"Mild"	"None"	"Mild"	"Moderate"
"tt1137450"	"Death Wish"	64	31	"Rated R for strong bloody violence, and language throughout"	"Mild"	"Severe"	"Severe"	"Mild"	"Severe"
"tt1139592"	"Jeepers Creepers III"	40	-1	"None"	"None"	"Moderate"	"Moderate"	"None"	"Moderate"
"tt1206885"	"Rambo: Last Blood"	64	26	"Rated R for strong graphic violence, grisly images, drug use and language."	"Mild"	"Severe"	"Severe"	"Moderate"	"Severe"
"tt1213641"	"First Man"	73	84	"Rated PG-13 for some thematic content involving peril, and brief strong language"	"None"	"Mild"	"Mild"	"Mild"	"Moderate"
"tt1219827"	"Ghost in the Shell"	63	52	"Rated PG-13 for intense sequences of sci-fi violence, suggestive content and some disturbing images"	"Mild"	"Moderate"	"Mild"	"Mild"	"Mild"
"tt1226837"	"Beautiful Boy"	73	62	"Rated R for drug content throughout, language, and brief sexual material"	"Mild"	"Mild"	"Moderate"	"Severe"	"Moderate"
"tt1230168"	"Same Kind of Different as Me"	66	47	"Rated PG-13 for thematic elements including some violence and language"	"None"	"None"	"Mild"	"None"	"None"
"tt1255919"	"Holmes & Watson"	38	24	"Rated PG-13 for crude sexual material, some violence, language and drug references"	"Moderate"	"Mild"	"Moderate"	"Moderate"	"Mild"
"tt1259528"	"Den of Thieves"	70	49	"Rated R for violence, language and some sexuality/nudity"	"Mild"	"Moderate"	"Severe"	"Mild"	"Moderate"
"tt1270797"	"Venom"	67	35	"Rated PG-13 for intense sequences of sci-fi violence and action, and for language"	"Mild"	"Moderate"	"Moderate"	"Mild"	"Moderate"
"tt1285009"	"The Strangers: Prey at Night"	52	48	"Rated R for horror violence and terror throughout, and for language"	"Mild"	"Severe"	"Moderate"	"Mild"	"Severe"
"tt1293847"	"xXx: Return of Xander Cage"	52	42	"Rated PG-13 for extended sequences of gunplay and violent action, and for sexual material and langua"	"Mild"	"Moderate"	"Moderate"	"Mild"	"None"
"tt1298644"	"The Hustle"	54	35	"Rated PG-13 on appeal for crude sexual content and language"	"Mild"	"None"	"Mild"	"Mild"	"None"
"tt1308728"	"The Happytime Murders"	54	27	"Rated R for strong crude and sexual content and language throughout, and some drug material"	"Severe"	"Moderate"	"Severe"	"Moderate"	"Moderate"
"tt1365519"	"Tomb Raider"	63	48	"Rated PG-13 for sequences of violence and action, and for some language"	"None"	"Moderate"	"Mild"	"Mild"	"Mild"
"tt1389072"	"Downsizing"	57	63	"Rated R for language including sexual references, some graphic nudity and drug use."	"Moderate"	"None"	"Moderate"	"Moderate"	"None"
"tt1396484"	"It"	73	69	"Rated R for violence/horror, bloody images, and for language"	"Mild"	"Severe"	"Severe"	"Mild"	"Severe"
"tt1412528"	"Table 19"	58	40	"Rated PG-13 for thematic elements, sexual content, drug use, language and some brief nudity"	"Mild"	"None"	"Mild"	"Mild"	"None"
"tt1413492"	"12 Strong"	66	54	"rated R for war violence and language throughout"	"None"	"Severe"	"Moderate"	"Mild"	"Moderate"
"tt1458169"	"Kidnap"	59	44	"Rated R for violence and peril"	"None"	"Moderate"	"Mild"	"None"	"Moderate"
"tt1469304"	"Baywatch"	55	37	"Rated R for language throughout, crude sexual content, and graphic nudity"	"Moderate"	"Moderate"	"Severe"	"Mild"	"Mild"
"tt1477834"	"Aquaman"	70	55	"Rated PG-13 for sequences of sci-fi violence and action, and for some language"	"Mild"	"Moderate"	"Mild"	"Mild"	"Mild"
"tt1478839"	"The Art of Racing in the Rain"	75	43	"Rated PG for thematic material"	"None"	"None"	"None"	"None"	"Mild"
"tt1485796"	"The Greatest Showman"	76	48	"Rated PG for thematic elements including a brawl"	"None"	"Mild"	"None"	"Mild"	"Mild"
"tt1489887"	"Booksmart"	72	84	"Rated R for strong sexual content and language throughout, drug use and drinking - all involving tee"	"Moderate"	"None"	"Severe"	"Moderate"	"None"
"tt1502407"	"Halloween"	66	67	"Rated R for horror violence and bloody images, language, brief drug use and nudity"	"Mild"	"Severe"	"Moderate"	"Mild"	"Severe"
"tt1517451"	"A Star Is Born"	77	88	"Rated R for language throughout, some sexuality/nudity and substance abuse"	"Moderate"	"Mild"	"Severe"	"Severe"	"Moderate"
"tt1560220"	"Zombieland: Double Tap"	72	56	"Rated R for bloody violence, language throughout, some drug and sexual content"	"Mild"	"Severe"	"Severe"	"Moderate"	"Moderate"
"tt1563742"	"Overboard"	60	42	"Rated PG-13 for suggestive material, partial nudity and some language."	"Mild"	"None"	"Mild"	"Mild"	"None"
"tt1571234"	"Mortal Engines"	61	44	"Rated PG-13 for sequences of futuristic violence and action"	"None"	"Moderate"	"Mild"	"Mild"	"Mild"
"tt1590193"	"The Commuter"	63	56	"Rated PG-13 for some intense action/violence, and language."	"None"	"Moderate"	"Moderate"	"Mild"	"Moderate"
"tt1615160"	"The Foreigner"	70	55	"Rated R for violence, language and some sexual material"	"Mild"	"Moderate"	"Severe"	"Mild"	"Moderate"
"tt1620680"	"A Wrinkle in Time"	42	53	"rated PG for thematic elements and some peril"	"None"	"Mild"	"None"	"None"	"Mild"
"tt1620981"	"The Addams Family"	59	46	"Rated PG for macabre and suggestive humor, and some action."	"None"	"Mild"	"None"	"Mild"	"Mild"
"tt1648190"	"The Dark Tower"	56	34	"Rated PG-13 for thematic material including sequences of gun violence and action."	"None"	"Moderate"	"Mild"	"Mild"	"Moderate"
"tt1666185"	"All Eyez on Me"	58	38	"Rated R for language throughout, drug use, violence, some nudity and sexuality"	"Moderate"	"Moderate"	"Severe"	"Moderate"	"Moderate"
"tt1677720"	"Ready Player One"	75	64	"Rated PG-13 for sequences of sci-fi action violence, bloody images, some suggestive material, partia"	"Mild"	"Moderate"	"Moderate"	"None"	"Mild"
"tt1691916"	"Before I Fall"	64	58	"Rated PG-13 for mature thematic content involving drinking, sexuality, bullying, some violent images"	"Mild"	"Mild"	"Moderate"	"Mild"	"Mild"
"tt1724970"	"Beyond Skyline"	53	46	"Rated R for sequences of bloody sci-fi violence, and language throughout."	"Mild"	"Severe"	"Moderate"	"Moderate"	"Moderate"
"tt1727824"	"Bohemian Rhapsody"	80	49	"Rated PG-13 for thematic elements, suggestive material, drug content and language"	"Mild"	"None"	"Mild"	"Moderate"	"Mild"
"tt1730768"	"The Zookeeper's Wife"	70	57	"Rated PG-13 for thematic elements, disturbing images, violence, brief sexuality, nudity and smoking"	"Moderate"	"Moderate"	"None"	"Mild"	"Moderate"
"tt1753383"	"A Dog's Purpose"	71	43	"Rated PG for thematic elements and some peril"	"None"	"Mild"	"None"	"Mild"	"Mild"
"tt1758810"	"The Snowman"	51	23	"Rated R for grisly images, violence, some language, sexuality and brief nudity"	"Moderate"	"Severe"	"Moderate"	"Mild"	"Severe"
"tt1781058"	"Wilson"	58	49	"Rated R for language throughout and some sexuality"	"Mild"	"None"	"Severe"	"Mild"	"Mild"
"tt1790809"	"Pirates of the Caribbean: Dead Men Tell No Tales"	66	39	"Rated PG-13 for sequences of adventure violence, and some suggestive conten"	"Mild"	"Moderate"	"Mild"	"Mild"	"Moderate"
"tt1801552"	"Gotti"	48	24	"Rated R for strong violence and pervasive language"	"None"	"Severe"	"Severe"	"Mild"	"Moderate"
"tt1825683"	"Black Panther"	73	88	"Rated PG-13 for prolonged sequences of action violence, and a brief rude gesture"	"None"	"Moderate"	"Mild"	"None"	"Moderate"
"tt1846589"	"Hunter Killer"	66	43	"Rated R for violence and some language"	"None"	"Moderate"	"Moderate"	"None"	"Mild"
"tt1856101"	"Blade Runner 2049"	80	81	"Rated R for violence, some sexuality, nudity and language"	"Moderate"	"Moderate"	"Moderate"	"Mild"	"Moderate"
"tt1946502"	"UglyDolls"	48	39	"Rated PG for thematic elements and brief action"	"None"	"Mild"	"Mild"	"None"	"Mild"
"tt1959563"	"The Hitman's Bodyguard"	69	47	"Rated R for strong violence and language throughout"	"Mild"	"Severe"	"Severe"	"Mild"	"Mild"
"tt1961175"	"American Assassin"	62	45	"Rated R for strong violence throughout, some torture, language and brief nudity"	"Mild"	"Severe"	"Severe"	"Mild"	"Severe"
"tt1966359"	"Father Figures"	55	22	"Rated R for language and sexual references throughout"	"Mild"	"Mild"	"Severe"	"Mild"	"Moderate"
"tt1972591"	"King Arthur: Legend of the Sword"	67	41	"Rated PG-13 for sequences of violence and action, some suggestive content and brief strong language"	"Mild"	"Moderate"	"Moderate"	"None"	"Moderate"
"tt1979376"	"Toy Story 4"	79	84	"None"	"None"	"Mild"	"None"	"None"	"Mild"
