"movie_id"	"one"	"two"	"three"	"four"	"five"	"six"	"seven"	"eight"	"nine"	"ten"	"mean"	"median"
"tt7734218"	1	628	887	1	3	6	5	2	827	1	0.0	0.0
"tt5816682"	428	137	310	672	1	5	9	5	1	1	0.0	0.0
"tt4799050"	2	1	2	5	9	9	5	2	767	1	0.0	0.0
"tt2274648"	3	2	4	7	11	12	8	3	1	2	0.0	0.0
"tt4131800"	375	110	158	275	515	807	829	622	362	1	0.0	0.0
"tt4530422"	1	662	1	2	6	15	22	12	3	3	0.0	0.0
"tt4463894"	720	435	709	1	3	8	9	4	1	2	0.0	0.0
"tt3521126"	1	528	802	1	4	14	36	37	13	8	0.0	0.0
"tt7329656"	661	540	814	1	2	1	1	509	170	508	0.0	0.0
"tt5776858"	1	753	1	2	4	11	22	25	14	9	0.0	0.0
"tt6421110"	559	406	628	1	1	1	723	397	156	575	0.0	0.0
"tt2072233"	854	780	1	2	5	7	4	1	532	1	0.0	0.0
"tt1308728"	1	951	1	2	3	4	3	1	565	1	0.0	0.0
"tt6003368"	1	462	533	719	847	753	524	303	138	423	0.0	0.0
"tt6324278"	652	87	125	202	572	1	2	2	945	1	0.0	0.0
"tt1025100"	1	1	1	2	5	8	6	2	1	1	0.0	0.0
"tt7690670"	580	233	317	474	873	891	756	416	177	596	0.0	0.0
"tt4287320"	3	3	5	9	17	18	10	4	1	1	0.0	0.0
"tt1946502"	413	242	295	491	661	625	382	223	100	381	0.0	0.0
"tt9024106"	2	239	88	91	133	207	349	549	702	6	0.0	0.0
"tt1206885"	1	787	1	2	4	6	8	5	2	5	0.0	0.0
"tt0493405"	1	922	1	2	5	10	9	4	1	2	0.0	0.0
"tt3829920"	265	146	237	400	1	3	12	16	7	6	0.0	0.0
"tt6628394"	1	656	1	2	6	17	34	28	9	5	0.0	0.0
"tt5109784"	15	5	6	8	13	20	31	32	18	17	0.0	0.0
"tt5691024"	1	278	332	319	361	297	190	140	68	481	0.0	0.0
"tt5208252"	488	197	261	662	2	6	8	3	934	823	0.0	0.0
"tt7388562"	331	89	109	234	511	863	1	871	567	1	0.0	0.0
"tt7284204"	121	65	120	178	395	496	306	106	35	138	0.0	0.0
"tt1966359"	532	492	854	1	3	4	2	871	264	472	0.0	0.0
"tt5688932"	1	721	977	1	3	7	12	11	4	3	0.0	0.0
"tt1730768"	1	432	316	666	1	5	11	7	2	2	0.0	0.0
"tt5270948"	234	95	143	348	1	2	3	1	381	531	0.0	0.0
"tt7752126"	1	1	1	3	7	13	13	6	2	2	0.0	0.0
