	movie_id	one	two	three	four	five	six	seven	eight	nine	ten	lower	median	upper	skewness
0	tt4154796	16945	2904	3735	5358	12218	26796	61570	106585	128868	252166	7.732305202420603	9.062292423254803	9.888156016274994	0.23383975578194058
1	tt1825683	18526	5649	7318	12276	27698	64123	130975	134420	70373	83181	6.523246802824967	7.5796347269751525	8.712002472539185	-0.034713706269355805
2	tt4154756	12153	2582	3175	4850	10902	27929	73632	147024	184184	264054	7.822384440635543	8.950611888111888	9.808394305710195	0.13617506873153093
3	tt2527336	33403	11729	14071	17992	31278	57418	99731	103284	62544	57001	5.737551813020307	7.285457881701777	8.475138937299098	0.13085428767076154
4	tt3606756	1428	631	937	2194	6540	20064	55352	70904	35749	26904	6.92241924411042	7.827280548347061	8.709159696774735	0.012862615705989303
5	tt6105098	4946	1906	2591	4152	9542	20843	37913	30384	14490	18418	6.131351053111357	7.254688365468309	8.388485716166404	-0.00463421102531167
6	tt2771200	5012	2097	3270	6009	14028	34104	63826	55910	28259	37000	6.437214109781844	7.443776830758625	8.601923281078594	-0.07002498596722957
7	tt1979376	1201	393	538	1243	3142	9521	27222	43671	28153	21425	7.164508485783557	8.072336333035652	9.048813625546122	-0.03643223372358103
8	tt4154664	25296	5468	6439	10373	22322	54507	101814	79179	32603	42259	5.961720512961638	7.145539906103286	8.244843961151314	0.037017419343063976
9	tt4881806	5085	4346	7858	14232	31233	60129	60304	28480	9582	13361	5.368680562225851	6.407232782850206	7.3801157468824625	0.03264796056717507
10	tt0451279	9711	3940	5867	10413	23277	54789	115553	133531	76648	75557	6.6672349484652065	7.732852296470482	8.824646435653898	-0.012133425326408692
11	tt2283362	2502	1521	2741	5632	16411	47094	89352	57331	20541	21032	6.290594343228436	7.128721237353389	8.07324571348834	-0.05968501962023361
12	tt3896198	4002	1823	3038	6353	16107	49234	124539	159402	84544	64983	6.885013931378926	7.825695411600858	8.748636804504164	0.009519140151395756
13	tt6320628	2560	929	1463	2703	7669	22177	57542	75174	39705	31280	6.896223627958708	7.839984569132945	8.769097091046469	0.007821360892455649
14	tt6139732	4077	1547	2299	3842	8886	21403	42525	38179	17868	20883	6.421658178759987	7.4100646678424456	8.457404594148615	-0.028949301729439925
15	tt1477834	5884	3745	6191	10861	21829	44648	77439	70632	34111	39520	6.176514065579645	7.329969395265952	8.428021293464719	0.02460726343729421
16	tt2250912	6410	2271	3281	6131	16122	47816	129224	142903	60851	47972	6.760897743453229	7.6416030454224195	8.451559799304423	0.041846652820020605
17	tt1396484	7394	3858	5716	9568	21219	48447	100868	111413	56935	46560	6.567340484593727	7.580053494655022	8.508790726266795	0.04325414921638947
18	tt5463162	3895	1652	2399	4560	11969	37286	98447	132581	73650	60920	6.957898666287444	7.903311937607953	8.876513917175831	-0.014483731553005776
19	tt3501632	5632	2015	2881	5142	12228	35281	99389	164783	108587	86016	7.177232892976084	8.09720359503104	9.090443607429988	-0.03829651893043349
20	tt2709692	951	523	950	1853	4694	9433	8859	4582	1654	2634	5.506599173115657	6.464221350577759	7.481572412236144	-0.030242882796164928
21	tt3469046	1243	1027	2151	4848	13677	30685	27072	10819	3311	4818	5.564094834609744	6.3759817500407365	7.279670877659575	-0.05351101314322734
22	tt0974015	10117	5950	10416	18913	38539	70106	83280	50188	21352	38856	5.54271032436596	6.737962295869356	7.9675769108153345	-0.014170941871444675
23	tt3315342	4137	1995	2887	5423	12353	34913	95447	163854	142871	125285	7.396657307196664	8.338719225652104	9.345971190794494	-0.03344256009023452
24	tt4630562	5613	2579	4134	7089	16330	34939	50050	33028	13990	21259	5.8293668965912016	6.975954045954046	8.136558374712365	-0.0060754295984527685
25	tt4912910	1913	856	1336	2386	6681	20332	56582	79805	48202	35713	7.02927609487116	7.9613370089593385	8.924536326293515	-0.01642961886169535
26	tt5095030	2251	1159	2297	4922	14009	42662	96244	67163	20411	17996	6.499496038629225	7.198817588628901	8.070127897800873	-0.10950291003456561
27	tt1727824	3154	1323	2298	4553	10169	24918	59286	103456	93390	93431	7.38687885841514	8.39205072687906	9.440427240603919	-0.021039019891457476
28	tt1517451	4494	1763	2509	4117	10011	25030	55889	76447	52428	54229	6.925938020003937	8.018601122346201	9.166204127565424	-0.024523828973496295
29	tt3778644	6406	2143	3122	6267	15750	40536	79229	56077	19325	17082	6.185717633708308	7.1152355829304925	8.05280685486028	-0.004313303625969869
30	tt1270797	4375	3335	6404	11788	26024	56747	88524	59452	23369	34768	5.9717518106684055	7.050359224617053	8.154183206620466	-0.011554346267899484
31	tt2380307	1920	563	713	1318	3687	12054	39875	84485	84500	80213	7.703610108303249	8.618923076923076	9.535916871330084	-0.0009173277210436742
32	tt5848272	1154	702	1076	2363	6172	17634	35771	25651	9141	7478	6.3686911647952815	7.1840736909787255	8.103660675997038	-0.060061262265461414
33	tt7349950	3060	1833	3025	5565	11696	24161	35061	24436	9891	10725	5.7973490335664914	6.938849433843872	8.019264609592405	0.027492144700702086
34	tt7286456	6318	1536	1893	2743	5911	13741	37387	86011	135359	223011	8.185360012091477	9.249229825870463	9.923896130684136	0.22386852064964408
35	tt4633694	3225	772	898	1389	3441	9913	32552	72417	83262	72661	7.7477664084400075	8.688056976772117	9.534798585210773	0.052348783144185076
36	tt5013056	6878	3092	4309	7088	15663	39039	91863	138168	106287	77624	7.005467380773544	8.057824532453246	9.077758803992962	0.015645907605801625
